! VOLCANO_NAMES.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! B. Hughes/SAB          2/04   Changed Smithsonian Number to Volcano Names for Map (D. Plummer)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated to include all SI GVP volcanoes with Last Known Eruption in CE
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
Iliamna  999999 Iliamna                          -- --  6003 -15309  3053  0 Alaska-SW
Ilibolen 999999 Iliboleng                        -- --  -834  12326  1659  0 Lesser.Sunda.Is
Iliwerun 999999 Iliwerung                        -- --  -853  12357   583  0 Lesser.Sunda.Is
Ilopango 999999 Ilopango                         -- --  1367  -8905   450  0 El.Salvador
Ilyinsky 999999 Ilyinsky                         -- --  5150  15720  1555  0 Kamchatka
Imuruk_L 999999 Imuruk_Lake                      -- --  6552 -16345   610  0 Alaska-US-W
Inielika 999999 Inielika                         -- --  -873  12098  1559  0 Lesser.Sunda.Is
Iraya    999999 Iraya                            -- --  2047  12201  1009  0 Luzon
Irazu    999999 Irazu                            -- --   998  -8385  3436  0 Costa.Rica
Iriomote 999999 Iriomote-jima                    -- --  2457  12393  -200  0 Ryukyu.Is
Irruputu 999999 Irruputuncu                      -- -- -2073  -6855  5163  0 Chile-N
Ischia   999999 Ischia                           -- --  4073   1390   789  0 Italy
Iskut-Un 999999 Iskut-Unuk_River_Cones           -- --  5658 -13055  1880  0 Canada
Isluga   999999 Isluga                           -- -- -1915  -6883  5550  0 Chile-N
Iwakisan 999999 Iwakisan                         -- --  4066  14030  1625  0 Honshu-Japan
Iwate    999999 Iwate                            -- --  3985  14100  2038  0 Honshu-Japan
Iwo-Tori 999999 Iwo-Tori-shima                   -- --  2788  12822   212  0 Ryukyu.Is
