! VORS.TBL
!
! This table contains aviation VOR points.
!
! The format for the file is given below, with the number of characters in
! parentheses.
! ******************************************************************************
! IF YOU CHANGE THIS TABLE YOU MUST CHECK BOTH THE snap.tbl AND THE coordPts.tbl
! ******************************************************************************
!
!!
! Log:
! G. Krueger/EAI       10/97
! G. Krueger/EAI        3/98	Added and deleted large no. of entries
! G. Krueger/EAI	2/99	Updated several entries from AWC info.
! S. Jacobs/NCEP	11/01	Added Alaskan VOR points	
! B. Yin/SAIC		06/05	Per AWC replace MQT with SAW
! J. Lewis/AWC           7/06   Added HAwaian VOR points
! B. Entwistle/AWC       2/08   Changed 11 VOR points
! J. Lewis/AWC		11/12	Changed VRB to TRV
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
MOT      000187 MINOT                            ND US  4826 -10129     0  0
AMA      000014 AMARILLO                         TX US  3529 -10164     0  0
GLD      000118 GOODLAND                         KS US  3939 -10169     0  0
DPR      000077 DUPREE                           SD US  4508 -10172     0  0
LBB      000151 LUBBOCK_INTERNATIONAL            TX US  3370 -10192     0  0
MAF      000167 MIDLAND                          TX US  3202 -10218     0  0
LAA      000146 LAMAR                            CO US  3820 -10269     0  0
DIK      000074 DICKINSIN                        ND US  4686 -10277     0  0
TXO      000385 TEXICO_NM/BOVINA                 TX US  3450 -10284     0  0
SNY      000379 SIDNEY                           NE US  4110 -10298     0  0
FST      000329 FT_STOCKTON                      TX US  3095 -10298     0  0
RAP      000224 RAPID_CITY                       SD US  4398 -10301     0  0
AKO      000011 AKRON                            CO US  4016 -10318     0  0
INK      000342 WINK                             TX US  3187 -10324     0  0
BFF      000026 SCOTTSBLUFF                      NE US  4189 -10348     0  0
TBE      000261 TOBE                             CO US  3727 -10360     0  0
TCC      000262 TUCUMCARI                        NM US  3518 -10360     0  0
ISN      000140 WILLISTON                        ND US  4818 -10363     0  0
MRF      000190 MARFA                            TX US  3030 -10395     0  0
PUB      000220 PUEBLO                           CO US  3829 -10443     0  0
CME      000233 CHISUM                           NM US  3334 -10462     0  0
DEN      000071 DENVER                           CO US  3981 -10466     0  0
CYS      000301 CHEYENNE                         WY US  4121 -10477     0  0
CIM      000297 CIMARRON                         NM US  3649 -10487     0  0
FTI      000163 FT_UNION                         NM US  3566 -10514     0  0
LAR      000148 LARAMIE                          WY US  4133 -10572     0  0
ALS      000013 ALAMOSA                          CO US  3735 -10582     0  0
MLS      000182 MILES_CITY                       MT US  4638 -10595     0  0
DDY      000307 CASPER                           WY US  4309 -10628     0  0
ELP      000090 EL_PASO                          TX US  3182 -10628     0  0
CZI      000302 CRAZY_WOMAN                      WY US  4400 -10644     0  0
GGW      000116 GLASGOW                          MT US  4822 -10663     0  0
ABQ      000002 ALBUQUERQUE                      NM US  3504 -10682     0  0
DBL      000304 EAGLE                            CO US  3944 -10690     0  0
HBU      000333 GUNNISON                         CO US  3845 -10704     0  0
SHR      000246 SHERIDAN                         WY US  4484 -10706     0  0
TCS      000263 TRUTH_OR_CONSEQUENCES            NM US  3328 -10728     0  0
CHE      000054 HAYDEN                           CO US  4052 -10731     0  0
DMN      000076 DEMING                           NM US  3228 -10760     0  0
YYN      000400 SWIFT_CURRENT                    SA CN  5028 -10768     0  0
RSK      000103 RATTLESNAKE                      NM US  3675 -10810     0  0
BOY      000290 BOYSEN_RESV.                     WY US  4346 -10830     0  0
BIL      000031 BILLINGS                         MT US  4581 -10863     0  0
JNC      000347 GRAND_JUNCTION                   CO US  3906 -10879     0  0
DVC      000082 DOVE_CREEK                       CO US  3781 -10893     0  0
OCS      000359 ROCKSPRINGS                      WY US  4159 -10902     0  0
SJN      000247 ST_JOHNS                         AZ US  3442 -10914     0  0
SSO      000256 SAN_SIMON                        AZ US  3227 -10926     0  0
LWT      000165 LEWISTOWN                        MT US  4705 -10961     0  0
HVR      000129 HAVRE                            MT US  4854 -10977     0  0
BPI      000291 BIG_PINEY                        WY US  4258 -11011     0  0
MTU      000196 MYTON                            UT US  4015 -11013     0  0
HVE      000128 HANKSVILLE                       UT US  3842 -11070     0  0
YXH      000399 MEDICINE_HAT                     AB CN  5002 -11072     0  0
JAC      000141 JACKSON                          WY US  4362 -11073     0  0
INW      000138 WINSLOW                          AZ US  3506 -11080     0  0
TUS      000269 TUCSON                           AZ US  3210 -11092     0  0
TBC      000260 TUBA_CITY                        AZ US  3612 -11127     0  0
GTF      000123 GREAT_FALLS                      MT US  4745 -11141     0  0
HLN      000336 HELENA                           MT US  4661 -11195     0  0
PHX      000211 PHOENIX                          AZ US  3343 -11202     0  0
SLC      000249 SALT_LAKE_CITY                   UT US  4085 -11198     0  0
DBS      000305 DUBOIS                           ID US  4409 -11221     0  0
BCE      000023 BRYCE_CANYON                     UT US  3769 -11230     0  0
MLD      000352 MALAD_CITY                       ID US  4220 -11245     0  0
DRK      000313 PRESCOTT                         AZ US  3470 -11248     0  0
DTA      000080 DELTA                            UT US  3930 -11251     0  0
DLN      000311 DILLON                           MT US  4525 -11255     0  0
PIH      000213 POCATELLO                        ID US  4287 -11265     0  0
YQL      000392 LETHBRIDGE                       AB CN  4963 -11280     0  0
PGS      000210 PEACH_SPRINGS                    AZ US  3562 -11354     0  0
BVL      000046 BOONEVILLE                       UT US  4073 -11376     0  0
LKT      000157 SALMON                           ID US  4502 -11408     0  0
FCA      000100 KALISPELL                        MT US  4821 -11418     0  0
ILC      000134 WILSON_CREEK                     NV US  3825 -11439     0  0
EED      000087 NEEDLES                          CA US  3477 -11447     0  0
TWF      000271 TWIN_FALLS                       ID US  4248 -11449     0  0
BZA      000294 YUMA                             AZ US  3277 -11460     0  0
ELY      000091 ELY                              NV US  3930 -11485     0  0
LAS      000149 LAS_VEGAS                        NV US  3608 -11516     0  0
MLP      000181 MULLAN_PASS                      ID US  4746 -11565     0  0
YXC      000398 CRANBROOK                        BC CN  4960 -11578     0  0
TRM      000383 THERMAL                          CA US  3363 -11616     0  0
BOI      000039 BOISE                            ID US  4355 -11619     0  0
DNJ      000312 MC_CALL                          ID US  4477 -11621     0  0
HEC      000334 HECTOR                           CA US  3480 -11646     0  0
BTY      000043 BEATTY                           NV US  3680 -11675     0  0
BAM      000286 BATTLE_MOUNTAIN                  NV US  4057 -11692     0  0
MZB      000354 MISSION_BAY                      CA US  3278 -11723     0  0
GEG      000113 SPOKANE                          WA US  4756 -11763     0  0
OAL      000357 COALDALE                         NV US  3800 -11777     0  0
BKE      000288 BAKER                            OR US  4484 -11781     0  0
REO      000227 ROME                             OR US  4259 -11787     0  0
LAX      000150 LOS_ANGELES_INTL                 CA US  3393 -11843     0  0
