PHZ113 Kauai_Channel
AMZ552 Volusia-Brevard_County_Line_to_Sebastian_Inlet_0-20_nm
ANZ233 Vineyard_Sound
ANZ232 Nantucket_Sound
AMZ670 Waters_from_Jupiter_Inlet_to_Deerfield_Beach_FL_from_20_to_60_NM
GMZ670 Waters_from_Pensacola_FL_to_Pascagoula_MS_from_20_to_60_NM
GMZ675 Waters_from_Okaloosa-Walton_County_Line_to_Pensacola_FL_from_20_to_60_NM
PZZ110 Grays_Harbor_Bar
PZZ153 Coastal_Waters_From_James_Island_To_Point_Grenville_Out_10_Nm
PZZ655 Inner_waters_from_Point_Mugu_to_San_Mateo_Pt._CA_including_Santa_Catalina_and_Anacapa_Islands
GMZ135 Laguna_Madre_From_5_nm_North_Of_Port_Mansfield_To_Baffin_Bay_TX
GMZ132 Laguna_Madre_From_The_Arroyo_Colorado_To_5_NM_North_Of_Port_Mansfield_TX
GMZ130 Laguna_Madre_From_the_Port_Of_Brownsville_to_the_Arroyo_Colorado
GMZ330 Matagorda_Bay
GMZ765 Coastal_waters_from__Suwannee_River_to_Keaton_Beach_out_20_NM
GMZ730 Apalachee_Bay_or_Coastal_Waters_From_Keaton_Beach_to_Ochlockonee_River_Fl_out_to_20_Nm
GMZ850 Coastal_waters_from_Tarpon_Springs_to_Suwannee_River_FL_out_20_NM
GMZ853 Coastal_waters_from_Englewood_to_Tarpon_Springs_FL_out_20_NM
GMZ830 Tampa_Bay_waters
GMZ856 Coastal_waters_from_Bonita_Beach_to_Englewood_FL_out_20_NM
GMZ836 Charlotte_Harbor_and_Pine_Island_Sound
ANZ231 Cape_Cod_Bay
ANZ251 Massachusetts_Bay_and_Ipswich_Bay
PKZ138 Shelikof_Strait
PKZ245 Flaxman_Island_to_Demarcation_Point
PKZ240 Cape_Halkett_to_Flaxman_Island
PKZ235 Point_Franklin_to_Cape_Halkett
PKZ230 Cape_Beaufort_to_Point_Franklin
PKZ225 Cape_Thompson_to_Cape_Beaufort
PKZ150 Sitkinak_to_Castle_Cape
PKZ160 Bristol_Bay
PKZ155 Castle_Cape_to_Cape_Sarichef
PKZ165 Port_Heiden_to_Cape_Sarichef
PKZ170 Cape_Sarichef_to_Nikoski_Bering_Side
PKZ179 Pribilof_Islands_Nearshore_Waters
PKZ172 Cape_Sarichef_to_Nikoski_Pacific_Side
PKZ174 Nikolski_to_Seguam_Pacific_Side
PKZ173 Nikolski_to_Seguam_Bering_Side
PKZ176 Seguam_to_Adak_Pacific_Side
PKZ175 Seguam_to_Adak_Bering_Side
PKZ177 Adak_to_Kiska
PKZ171 Unalaska_Bay
GMZ237 San_Antonio_Mesquite_and_Espiritu_Santo_Bays
GMZ550 Coastal_Waters_from_Port_Fourchon_LA_to_Lower_Atchafalaya_River_LA_out_20_nm
GMZ555 Coastal_Waters_from_Boothville_LA_to_Southwest_Pass_of_the_Mississippi_River_out_20_nm
GMZ552 Coastal_waters_from_the_Southwest_Pass_of_the_Mississippi_River_to_Port_Fourchon_Louisiana_out_20_NM
PKZ178 Kiska_to_Attu
PKZ220 Wales_to_Cape_Thompson
PKZ215 Kotzebue_Sound
PKZ200 Norton_Sound
PKZ210 Dall_Point_to_Wales
PKZ180 Kuskokwim_Delta_and_Etolin_Strait
PKZ185 St_Matthew_Island_Waters
PKZ129 Western_Prince_William_Sound
PKZ128 Valdez_Arm
PKZ127 Valdez_Narrows
PKZ126 Port_of_Valdez
PKZ136 Chiniak_Bay
PKZ137 Marmot_Bay
PKZ121 Resurrection_Bay
PZZ132 East_Entrance_U.S._Waters_Strait_Of_Juan_De_Fuca
PZZ134 Admiralty_Inlet
PZZ133 Northern_Inland_Waters_Including_The_San_Juan_Islands
PZZ676 Outer_waters_from_Santa_Cruz_Island_to_San_Clemente_Island_to_60_NM_offshore_including_San_Nicolas_and_Santa_Barbara_Islands
PZZ750 Coastal_Waters_from_San_Mateo_Point_to_the_Mexican_Border_and_out_to_30_nm
PZZ775 Waters_from_San_Mateo_point_to_the_Mexican_Border_Extending_30_to_60_nm_out_including_San_Clemente_Island
PZZ575 Waters_from_Pigeon_Point_to_Point_Pinos_10-60_NM
PZZ571 Waters_from_Point_Reyes_to_Pigeon_Point_10-60_NM
PSZ152 Coastal_waters_of_Swain_s_Island
AMZ575 Sebastian_Inlet_to_Jupiter_Inlet_20-60_nm
AMZ570 Flagler_Beach_to_Volusia-Brevard_County_Line_20-60_nm
AMZ572 Volusia-Brevard_County_Line_to_Sebastian_Inlet_20-60_nm
GMZ530 Lake_Pontchartrain_and_Lake_Maurepas
AMZ452 Coastal_waters_from_Fernandina_Beach_to_St._Augustine_FL_out_20_NM
AMZ454 Coastal_waters_from_St._Augustine_to_Flagler_Beach_FL_out_20_NM
AMZ450 Coastal_waters_from_Altamaha_Sound_to_Fernandina_Beach_FL_out_20_NM
ANZ638 James_River_from_James_River_Bridge_to_Hampton_Roads_Bridge-Tunnel
ANZ637 James_River_from_Jamestown_to_the_James_River_Bridge
ANZ631 Chesapeake_Bay_from_Windmill_Point_to_New_Point_Comfort_VA
ANZ153 Casco_Bay
PZZ670 Point_Piedras_Blancas_to_Point_Sal_from_10_to_60_NM
ANZ635 Rappahannock_River_from_Urbanna_to_Windmill_Point
ANZ630 Chesapeake_Bay_from_Smith_Point_to_Windmill_Point_VA
ANZ151 Penobscot_Bay
ANZ052 Intra_Coastal_Waters_from_Schoodic_Point,_ME_to_Stonington,_ME
LSZ263 Lake_Superior_from_Saxon_Harbor_WI_to_Upper_Entrance_to_Portage_Canal_MI_5NM_off_shore_to_the_US/Canadian_border_including_Isle_Royal_National_Park
LSZ264 Lake_Superior_from_Upper_Entrance_to_Portage_Canal_to_Manitou_Island_MI_5NM_off_shore_to_the_US/Canadian_Border
ANZ430 Delaware_Bay_waters_north_of_East_Point_NJ_to_Slaughter_Beach_DE
ANZ431 Delaware_Bay_waters_south_of_East_Point_NJ_to_Slaughter_Beach_DE
ANZ338 New_York_Harbor
ANZ335 Long_Island_Sound_West_of_New_Haven_CT/Port_Jefferson_NY
ANZ345 South_Shore_Bays_from_Jones_Inlet_through_Shinnecock_Bay
ANZ340 Peconic_and_Gardiners_Bays
ANZ331 Long_Island_Sound_East_of_New_Haven_CT/Port_Jefferson_NY_to_the_Mouth_of_the_Connecticut_River
PKZ052 Icy_Cape_to_Cape_Suckling
PKZ053 Yakutat_Bay
PKZ051 Cape_Fairweather_to_Icy_Cape
PKZ036 Clarence_Strait
PKZ012 Northern_Lynn_Canal
PKZ011 Glacier_Bay
PKZ013 Southern_Lynn_Canal
PKZ031 Stephens_Passage
PKZ043 Southeast_Alaska_Outside_Waters_From_Cape_Edgecumbe_to_Cape_Fairweather
PKZ022 Cross_Sound
PKZ021 Icy_Strait
PKZ032 Northern_Chatham_Strait
PKZ042 Cape_Decision_to_Cape_Edgecumbe
