NYZ066   320660 Eastern_Dutchess                 NY US  4176  -7362     0  0 ALY
NYZ053   320530 Western_Rensselaer               NY US  4271  -7362     0  0 ALY
NYZ060   320600 Western_Columbia                 NY US  4225  -7373     0  0 ALY
NYZ083   320830 Southeast_Warren                 NY US  4335  -7374     0  0 ALY
NYZ070   320700 Northern_Westchester             NY US  4122  -7375     0  0 OKX
NYZ068   320680 Putnam                           NY US  4143  -7375     0  0 OKX
NYZ178   321780 Southern_Queens                  NY US  4067  -7379     0  0 OKX
NYZ031   320310 Western_Clinton                  NY US  4471  -7379     0  0 BTV
NYZ176   321760 Northern_Queens                  NY US  4075  -7384     0  0 OKX
NYZ065   320650 Western_Dutchess                 NY US  4177  -7385     0  0 ALY
NYZ042   320420 Northern_Warren                  NY US  4360  -7386     0  0 ALY
NYZ041   320410 Northern_Saratoga                NY US  4318  -7386     0  0 ALY
NYZ034   320340 Western_Essex                    NY US  4409  -7386     0  0 BTV
NYZ073   320730 Bronx                            NY US  4085  -7387     0  0 OKX
NYZ052   320520 Eastern_Albany                   NY US  4262  -7388     0  0 ALY
NYZ050   320500 Southern_Saratoga                NY US  4294  -7388     0  0 ALY
NYZ071   320710 Southern_Westchester             NY US  4096  -7390     0  0 OKX
NYZ059   320590 Eastern_Greene                   NY US  4231  -7391     0  0 ALY
NYZ075   320750 Kings_(Brooklyn)                 NY US  4064  -7395     0  0 OKX
NYZ072   320720 New_York_(Manhattan)             NY US  4078  -7397     0  0 OKX
NYZ049   320490 Eastern_Schenectady              NY US  4284  -7398     0  0 ALY
NYZ069   320690 Rockland                         NY US  4115  -7402     0  0 OKX
NJZ104   301040 Eastern_Bergen                   NJ US  4092  -7402     0  0 OKX
NJZ014   300140 Eastern_Monmouth                 NJ US  4026  -7403     0  0 PHI
NYZ064   320640 Eastern_Ulster                   NY US  4183  -7406     0  0 ALY
NJZ006   300060 Hudson                           NJ US  4071  -7408     0  0 OKX
NYZ051   320510 Western_Albany                   NY US  4256  -7413     0  0 ALY
