! VOLCANO.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! D.W.Plummer/NCEP       8/04   Added Anatahan (Mariana Is-C Pacific)
! D.W.Plummer/NCEP       8/04   Reconcile w/ NESDIS/SAB operations
! S. Jacobs/NCEP        12/10   Reconcile w/ NESDIS/SAB operations
! S. Gilbert/NCEP        2/14   Updated ID numbers based on new info from Smithsonian
! S. Gilbert/NCEP       11/14   Renamed Negro_de_Mayasquer,_Cerro to Chiles-Cerro_Negro
! S. Guan/NCEP           8/16   Added Sotara (Columbia)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated to include all SI GVP volcanoes with Last Known Eruption in CE
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
290070   999999 Grozny_Group                     -- --  4501  14787  1158  0 Kuril.Is
352020   999999 Guagua_Pichincha                 -- --   -17  -7860  4784  0 Ecuador
355020   999999 Guallatiri                       -- -- -1842  -6909  6071  0 Chile-N
284190   999999 Guguan                           -- --  1731  14584   287  0 Mariana.Is-C.Pacific
263130   999999 Guntur                           -- --  -714  10784  2251  0 Java
284050   999999 Hachijojima                      -- --  3314  13977   854  0 Izu.Is-Japan
275001   999999 Hainan_Volcanic_Field            -- --  1990  11023   196  0 China
283280   999999 Hakkodasan                       -- --  4066  14088  1585  0 Honshu-Japan
283020   999999 Hakoneyama                       -- --  3523  13902  1438  0 Honshu-Japan
283050   999999 Hakusan                          -- --  3616  13677  2702  0 Honshu-Japan
332060   999999 Haleakala                        -- --  2071 -15625  3055  0 Hawaiian.Is
306040   999999 Halla                            -- --  3336  12653  1919  0 SouthKorea
252100   999999 Hargy                            -- --  -533  15110  1148  0 New.Britain-SW.Pac
283122   999999 Harunasan                        -- --  3648  13885  1449  0 Honshu-Japan
242005   999999 Havre_Seamount                   -- -- -3108 -17903  -897  0 Kermadec.Is
313050   999999 Hayes                            -- --  6164 -15241  3034  0 Alaska-SW
241140   999999 Healy                            -- -- -3500  17897  -980  0 New.Zealand
234010   999999 Heard                            -- -- -5311   7351  2745  0 Indian.O
372070   999999 Hekla                            -- --  6398  -1967  1490  0 Iceland
371050   999999 Hengill                          -- --  6408  -2142   803  0 Iceland-SW
383020   999999 Hierro                           -- --  2773  -1803  1500  0 Canary.Is
283131   999999 Hiuchigatake                     -- --  3696  13928  2356  0 Honshu-Japan
243080   999999 Home_Reef                        -- -- -1899 -17478   -10  0 Tonga-SW.Pacific
322010   999999 Hood                             -- --  4537 -12170  3426  0 US-Oregon
358023   999999 Hornopiren                       -- -- -4187  -7243  1572  0 Chile-S
332040   999999 Hualalai                         -- --  1969 -15587  2523  0 Hawaiian.Is
357123   999999 Huanquihue_Group                 -- -- -3989  -7158  2189  0 Argentina-C
