! SNAP.TBL
!
! This table contains aviation VOR points and all VOR-relative points.
! VOR-relative points, or 'snapable' points are all points relative to
! individual VOR points located on a 16 point compass in 10nm intervals.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
!!
! Log:
! J. Wu/SAIC	        01/05   Created table
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!STID    STNM   NAME                            ST CO   LAT    LON   ELV  PRI
!(8)     (6)    (32)                            (2)(2)  (5)    (6)   (5)  (2)
PQI00032      9 90NNE_PQI                        -  -   4815  -6723     0  2
PQI00033      9 100NNE_PQI                       -  -   4830  -6713     0  2
PQI00034      9 110NNE_PQI                       -  -   4846  -6703     0  2
PQI00035      9 120NNE_PQI                       -  -   4861  -6693     0  2
PQI00036      9 130NNE_PQI                       -  -   4876  -6683     0  2
PQI00037      9 140NNE_PQI                       -  -   4892  -6673     0  2
PQI00038      9 150NNE_PQI                       -  -   4907  -6663     0  2
PQI00039      9 160NNE_PQI                       -  -   4922  -6653     0  2
PQI00040      9 170NNE_PQI                       -  -   4937  -6643     0  2
PQI00041      9 180NNE_PQI                       -  -   4953  -6632     0  2
PQI00042      9 190NNE_PQI                       -  -   4968  -6622     0  2
PQI00043      9 200NNE_PQI                       -  -   4983  -6611     0  2
PQI00044      9 210NNE_PQI                       -  -   4998  -6601     0  2
PQI00045      9 220NNE_PQI                       -  -   5014  -6590     0  2
PQI00046      9 230NNE_PQI                       -  -   5029  -6580     0  2
PQI00047      9 240NNE_PQI                       -  -   5044  -6569     0  2
PQI00048      9 20NE_PQI                         -  -   4701  -6774     0  2
PQI00049      9 30NE_PQI                         -  -   4712  -6757     0  2
PQI00050      9 40NE_PQI                         -  -   4724  -6740     0  2
PQI00051      9 50NE_PQI                         -  -   4736  -6722     0  2
PQI00052      9 80NE_PQI                         -  -   4770  -6669     0  2
PQI00053      9 90NE_PQI                         -  -   4782  -6651     0  2
PQI00054      9 100NE_PQI                        -  -   4793  -6633     0  2
PQI00055      9 110NE_PQI                        -  -   4805  -6615     0  2
PQI00056      9 120NE_PQI                        -  -   4816  -6597     0  2
PQI00057      9 130NE_PQI                        -  -   4828  -6579     0  2
PQI00058      9 140NE_PQI                        -  -   4839  -6561     0  2
PQI00059      9 150NE_PQI                        -  -   4851  -6542     0  2
PQI00060      9 160NE_PQI                        -  -   4862  -6524     0  2
PQI00061      9 170NE_PQI                        -  -   4873  -6505     0  2
PQI00062      9 180NE_PQI                        -  -   4885  -6487     0  2
PQI00063      9 190NE_PQI                        -  -   4896  -6468     0  2
PQI00064      9 200NE_PQI                        -  -   4907  -6449     0  2
PQI00065      9 210NE_PQI                        -  -   4918  -6431     0  2
PQI00066      9 220NE_PQI                        -  -   4929  -6412     0  2
PQI00067      9 230NE_PQI                        -  -   4941  -6393     0  2
PQI00068      9 240NE_PQI                        -  -   4952  -6374     0  2
PQI00069      9 250NE_PQI                        -  -   4963  -6354     0  2
PQI00070      9 20ENE_PQI                        -  -   4690  -6764     0  2
PQI00071      9 30ENE_PQI                        -  -   4696  -6741     0  2
PQI00072      9 40ENE_PQI                        -  -   4702  -6719     0  2
PQI00073      9 50ENE_PQI                        -  -   4708  -6696     0  2
PQI00074      9 60ENE_PQI                        -  -   4714  -6673     0  2
PQI00075      9 70ENE_PQI                        -  -   4721  -6650     0  2
PQI00076      9 80ENE_PQI                        -  -   4727  -6628     0  2
PQI00077      9 90ENE_PQI                        -  -   4733  -6605     0  2
PQI00078      9 100ENE_PQI                       -  -   4739  -6582     0  2
PQI00079      9 110ENE_PQI                       -  -   4744  -6559     0  2
PQI00080      9 120ENE_PQI                       -  -   4750  -6536     0  2
PQI00081      9 130ENE_PQI                       -  -   4756  -6513     0  2
PQI00082      9 140ENE_PQI                       -  -   4762  -6489     0  2
PQI00083      9 150ENE_PQI                       -  -   4768  -6466     0  2
PQI00084      9 160ENE_PQI                       -  -   4773  -6443     0  2
PQI00085      9 20E_PQI                          -  -   4677  -6760     0  2
PQI00086      9 30E_PQI                          -  -   4677  -6736     0  2
PQI00087      9 40E_PQI                          -  -   4677  -6712     0  2
PQI00088      9 50E_PQI                          -  -   4676  -6687     0  2
PQI00089      9 60E_PQI                          -  -   4676  -6663     0  2
PQI00090      9 70E_PQI                          -  -   4676  -6639     0  2
PQI00091      9 80E_PQI                          -  -   4675  -6615     0  2
PQI00092      9 90E_PQI                          -  -   4675  -6590     0  2
PQI00093      9 20ESE_PQI                        -  -   4664  -6764     0  2
PQI00094      9 30ESE_PQI                        -  -   4658  -6742     0  2
PQI00095      9 40ESE_PQI                        -  -   4651  -6720     0  2
PQI00096      9 50ESE_PQI                        -  -   4645  -6697     0  2
PQI00097      9 20SE_PQI                         -  -   4653  -6775     0  2
PQI00098      9 30SE_PQI                         -  -   4642  -6758     0  2
PQI00099      9 20SSE_PQI                        -  -   4646  -6790     0  2
PQI00100      9 30SSE_PQI                        -  -   4631  -6781     0  2
PQI00101      9 20S_PQI                          -  -   4644  -6809     0  2
PQI00102      9 30S_PQI                          -  -   4627  -6809     0  2
PQI00103      9 20SSW_PQI                        -  -   4646  -6828     0  2
PQI00104      9 30SSW_PQI                        -  -   4631  -6837     0  2
PQI00105      9 20SW_PQI                         -  -   4653  -6843     0  2
PQI00106      9 30SW_PQI                         -  -   4642  -6860     0  2
PQI00107      9 40SW_PQI                         -  -   4630  -6877     0  2
PQI00108      9 50SW_PQI                         -  -   4618  -6894     0  2
PQI00109      9 20WSW_PQI                        -  -   4664  -6854     0  2
PQI00110      9 30WSW_PQI                        -  -   4658  -6876     0  2
PQI00111      9 40WSW_PQI                        -  -   4651  -6898     0  2
PQI00112      9 50WSW_PQI                        -  -   4645  -6921     0  2
PQI00113      9 60WSW_PQI                        -  -   4638  -6943     0  2
PQI00114      9 70WSW_PQI                        -  -   4631  -6965     0  2
PQI00115      9 20W_PQI                          -  -   4677  -6858     0  2
PQI00116      9 30W_PQI                          -  -   4677  -6882     0  2
PQI00117      9 40W_PQI                          -  -   4677  -6906     0  2
PQI00118      9 50W_PQI                          -  -   4676  -6931     0  2
PQI00119      9 60W_PQI                          -  -   4676  -6955     0  2
PQI00120      9 20WNW_PQI                        -  -   4690  -6854     0  2
PQI00121      9 30WNW_PQI                        -  -   4696  -6877     0  2
PQI00122      9 40WNW_PQI                        -  -   4702  -6899     0  2
PQI00123      9 50WNW_PQI                        -  -   4708  -6922     0  2
PQI00124      9 60WNW_PQI                        -  -   4714  -6945     0  2
PQI00125      9 70WNW_PQI                        -  -   4721  -6968     0  2
