! VOLCANO_NAMES.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! B. Hughes/SAB          2/04   Changed Smithsonian Number to Volcano Names for Map (D. Plummer)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
Pago     999999 Pago                             -- --  -558  15052   724  0 New.Britain-SW.Pac  
Paluweh  999999 Paluweh                          -- --  -832  12171   875  0 Lesser.Sunda.Is     
Papanday 999999 Papandayan                       -- --  -732  10773  2665  0 Java                
Pavlof   999999 Pavlof                           -- --  5542 -16189  2493  0 Alaska.Peninsula    
Pelee    999999 Pelee                            -- --  1481  -6117  1394  0 W.Indies            
Penguin_ 999999 Penguin_Island                   -- -- -6210  -5793   180  0 Antarctica          
Perbaki- 999999 Perbaki-Gagak                    -- --  -675  10670  1699  0 Java                
Peuet_Sa 999999 Peuet_Sague                      -- --   491   9633  2801  0 Sumatra             
Pilas,_L 999999 Pilas,_Las                       -- --  1250  -8669  1088  0 Nicaragua           
Pinatubo 999999 Pinatubo                         -- --  1513  12035  1486  0 Luzon-Philippines   
Pinta    999999 Pinta                            -- --    58  -9075   780  0 Galapagos           
Planchon 999999 Planchon-Peteroa                 -- -- -3522  -7057  3977  0 Chile-C             
Poas     999999 Poas                             -- --  1020  -8423  2708  0 Costa.Rica          
Popocate 999999 Popocatepetl                     -- --  1902  -9862  5426  0 Mexico              
Protecto 999999 Protector_Shoal                  -- -- -5591  -2817   -55  0 Antarctica          
Purace   999999 Purace                           -- --   232  -7640  4650  0 Colombia            
Putana   999999 Putana                           -- -- -2256  -6785  5884  0 Chile-N             
Puyehue_ 999999 Puyehue_Cordon_Caulle            -- -- -4059  -7212  2236  0 Chile-C             
Rabaul   999999 Rabaul                           -- --  -427  15220   688  0 New.Britain-SW.Pac  
Ragang   999999 Ragang                           -- --   770  12450  2815  0 Mindanao-Philippines
Raikoke  999999 Raikoke                          -- --  4829  15325   551  0 Kuril.Is            
Rainier  999999 Rainier                          -- --  4685 -12176  4392  0 US-Washington       
Ranakah  999999 Ranakah                          -- --  -862  12052  2350  0 Lesser.Sunda.Is     
Raoul_Is 999999 Raoul_Island                     -- -- -2927 -17792   516  0 Kermadec.Is         
Rasshua  999999 Rasshua                          -- --  4777  15302   956  0 Kuril.Is            
Raung    999999 Raung                            -- --  -812  11406  3260  0 Java                
Redoubt  999999 Redoubt                          -- --  6049 -15274  3108  0 Alaska-SW           
