! ISLAND.TBL
!
! This table contains the locations of the major islands in the 
! tropical atlantic ocean.
! 
!
! The format for the file is given below, with the number of 
! characters in parentheses.
!
! Log:
! A. Hardy (GSC)		         DATE:    3/00	
! Notes:  Created
!
! C. Sisko & M. Huber (NHC/TPC)  DATE:    28-APR-2000   
! Notes:  expanded table to include all known Atlantic Islands
!         source:  United Nations Environment Programme (UNEP) 
!
! C. Sisko (NHC/TPC) 
!   revised:  22-MAY-2000  corrected discrepancies and performed 
!                          verification of most islands. 
!
! C. Sisko (NHC/TPC)
!   revised:  14-JUL-2000  corrected discrepancies.
!
! A. Hardy (GSC)		         DATE:    7/00	
! Notes:  corrected location for St. Thomas, Tobago Islands, 
!         added Hans Lollik Is.
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
ROYAL_GE 999999 ROYAL_GEOGRAPHICAL_SOCIETY       -- CN  6892 -10045    53  0
RUSSELL  999999 RUSSELL                          -- CN  7390  -9850   248  0
SABLE    999999 SABLE                            -- CN  4395  -6000     0  0
SALISBUR 999999 SALISBURY                        -- CN  6355  -7700   503  0
SILLEM   999999 SILLEM                           -- CN  7095  -7175  1522  0
SOMERSET 999999 SOMERSET                         -- CN  7350  -9300     0  0
SOUTH_SP 999999 SOUTH_SPICER                     -- CN  6830  -7900    55  0
SOUTHAMP 999999 SOUTHAMPTON                      -- CN  6450  -8390   625  0
STEFANSS 999999 STEFANSSON                       -- CN  7350 -10550     0  0
STOR     999999 STOR                             -- CN  7890  -8590   527  0
SWINDLE  999999 SWINDLE                          -- CN  5253 -12859     0  0
TENNENT  999999 TENNENT                          -- CN  6950  -9625    76  0
TEXADA   999999 TEXADA                           -- CN  4967 -12436   891  0
THORN    999999 THORN                            -- CN  7825 -10320     0  0
VANCOUVE 999999 VANCOUVER                        -- CN  4967 -12550  2192  0
VANIER   999999 VANIER                           -- CN  7625 -10320   213  0
VANSITTA 999999 VANSITTART                       -- CN  6584  -8387   255  0
VICTORIA 999999 VICTORIA                         -- CN  7100 -11000   650  0
WALES    999999 WALES                            -- CN  6800  -8650   165  0
WEST_HAR 999999 WEST_HARRISON                    -- CN  6934  -9042     0  0
WHITE    999999 WHITE                            -- CN  6584  -8484   381  0
WINTER   999999 WINTER                           -- CN  8325  -8310    81  0
BOA_VIST 999999 BOA_VISTA                        -- CV  1610  -2279   390  0
BRAVA    999999 BRAVA                            -- CV  1490  -2470   976  0
FOGO     999999 FOGO                             -- CV  1495  -2440  2829  0
MAIO     999999 MAIO                             -- CV  1530  -2320   436  0
RAZO     999999 RAZO                             -- CV  1665  -2463   164  0
SAL      999999 SAL                              -- CV  1670  -2295   406  0
SANTA_LU 999999 SANTA_LUZIA                      -- CV  1675  -2475   395  0
SANTO_AN 999999 SANTO_ANTAO                      -- CV  1705  -2510  1979  0
SAO_NICO 999999 SAO_NICOLAU                      -- CV  1660  -2430  1304  0
SANTIAGO 999999 SANTIAGO                         -- CV  1508  -2361     0  0
SAO_VICE 999999 SAO_VICENTE                      -- CV  1675  -2495   743  0
LENNOX   999999 LENNOX                           -- CH -5530  -6693   488  0
LEUCAYE  999999 LEUCAYE                          -- CH -4405  -7367     0  0
LEVEL    999999 LEVEL                            -- CH -4447  -7438   488  0
LONDONDE 999999 LONDONDERRY                      -- CH -5500  -7058   914  0
LUZ      999999 LUZ                              -- CH -4550  -7395     0  0
MADRE_DE 999999 MADRE_DE_DIOS                    -- CH -5022  -7512   731  0
MAGDALEN 999999 MAGDALENA                        -- CH -4458  -7306  1676  0
MALDONAD 999999 MALDONADO                        -- CH -5202  -7460     0  0
MANUAL_R 999999 MANUAL_RODRIGUEZ                 -- CH -5258  -7385     0  0
MELCHOR  999999 MELCHOR                          -- CH -4513  -7392     0  0
MERINO_J 999999 MERINO_JARPA                     -- CH -4795  -7408  1067  0
MORNINGT 999999 MORNINGTON                       -- CH -4973  -7538   762  0
NALCAYEC 999999 NALCAYEC                         -- CH -4610  -7380     0  0
NAVARINO 999999 NAVARINO                         -- CH -5510  -6765     0  0
NORTH_RE 999999 NORTH_RENNELL                    -- CH -5183  -7429     0  0
NUEVA    999999 NUEVA                            -- CH -5526  -6657   335  0
OBRIEN   999999 OBRIEN                           -- CH -5486  -7054   701  0
OFHIDRO  999999 OFHIDRO                          -- CH -4843  -7413     0  0
ORELLA   999999 ORELLA                           -- CH -4890  -7517     0  0
PACHECO  999999 PACHECO                          -- CH -5226  -7472     0  0
PATRICIO 999999 PATRICIO_LYNCH                   -- CH -4857  -7547   853  0
PEDRO_MO 999999 PEDRO_MONTT                      -- CH -5228  -7393     0  0
PIAZZI   999999 PIAZZI                           -- CH -5169  -7408   700  0
PICTON   999999 PICTON                           -- CH -5506  -6692   244  0
PRAT     999999 PRAT                             -- CH -4830  -7500  1341  0
QUINCHAO 999999 QUINCHAO                         -- CH -4246  -7355     0  0
RAMIREZ  999999 RAMIREZ                          -- CH -5180  -7500     0  0
REFUGIO  999999 REFUGIO                          -- CH -4397  -7318   780  0
RIESCO   999999 RIESCO                           -- CH -5295  -7240  1665  0
RIVERO   999999 RIVERO                           -- CH -4562  -7434   914  0
MAS_A_TI 999999 MAS_A_TIERRA                     -- CH -3363  -7887   914  0
ROJAS    999999 ROJAS                            -- CH -4438  -7432     0  0
ROWLETT  999999 ROWLETT                          -- CH -4478  -7442     0  0
SALA_Y_G 999999 SALA_Y_GOMEZ                     -- CH -2647 -10547    29  0
SALAS    999999 SALAS                            -- CH -4587  -7425     0  0
SAN_AMBR 999999 SAN_AMBROSIO                     -- CH -2647  -7988     0  0
SAN_FELI 999999 SAN_FELIX                        -- CH -2638  -8008     0  0
STA_INEZ 999999 STA_INEZ                         -- CH -5375  -7285  1371  0
SAUMAREZ 999999 SAUMAREZ                         -- CH -4952  -7436     0  0
SERRANO  999999 SERRANO                          -- CH -4843  -7474  1585  0
SIMPSON  999999 SIMPSON                          -- CH -4590  -7380     0  0
SOUTH_RE 999999 SOUTH_RENNELL                    -- CH -5210  -7390  1220  0
STEWART  999999 STEWART                          -- CH -5489  -7120   884  0
STOKES   999999 STOKES                           -- CH -4467  -7469   853  0
STOSCH   999999 STOSCH                           -- CH -4911  -7543     0  0
TAHUENAH 999999 TAHUENAHUEC                      -- CH -4450  -7403     0  0
TENQUEHU 999999 TENQUEHUEN                       -- CH -4572  -7478     0  0
TERESA   999999 TERESA                           -- CH -4486  -7383     0  0
TIERRA_D 999999 TIERRA_DEL_FUEGO                 -- CH -5410  -6880  2497  0
TRAIGUEN 999999 TRAIGUEN                         -- CH -4559  -7367   701  0
TRANSITO 999999 TRANSITO                         -- CH -4480  -7366     0  0
VANCOUVE 999999 VANCOUVER                        -- CH -5137  -7422     0  0
VICTORIA 999999 VICTORIA                         -- CH -4529  -7397     0  0
VIDAL    999999 VIDAL                            -- CH -5195  -7473  1098  0
WELLINGT 999999 WELLINGTON                       -- CH -4950  -7470  1463  0
WICKHAM  999999 WICKHAM                          -- CH -5409  -7040   792  0
WOLLASTO 999999 WOLLASTON                        -- CH -5568  -6736   701  0
GORGONA  999999 GORGONA                          -- CO   300  -7832     0  0
MALPELO  999999 MALPELO                          -- CO   400  -8158     0  0
ISLA_DE  999999 ISLA_DE_PROVIDENCIA              -- CO   134  -8140     0  0
SAN_ANDR 999999 SAN_ANDRES                       -- CO   126  -8170   100  0
COCO     999999 COCO                             -- CU  2250  -7840     4  0
CAYO_ROM 999999 CAYO_ROMANO                      -- CU  2235  -7810    45  0
CUBA     999999 CUBA                             -- CU  2150  -7900  1974  0
PINOS_J  999999 PINOS_JUVENTUDI                  -- CU  2165  -8278   310  0
AERO     999999 AERO                             -- DN  5488   1038    68  0
ALS      999999 ALS                              -- DN  5497    989    75  0
ANHOLT   999999 ANHOLT                           -- DN  5672   1157     0  0
BORNHOLM 999999 BORNHOLM                         -- DN  5515   1492   162  0
FALSTER  999999 FALSTER                          -- DN  5480   1196    44  0
FYN      999999 FYN                              -- DN  5533   1029   131  0
LAESO    999999 LAESO                            -- DN  5727   1100     0  0
LANGELAN 999999 LANGELAND                        -- DN  5493   1080    46  0
LOLLAND  999999 LOLLAND                          -- DN  5477   1140    30  0
MON      999999 MON                              -- DN  5497   1233   143  0
ROMO     999999 ROMO                             -- DN  5513    852     0  0
SAMSO    999999 SAMSO                            -- DN  5587   1059    64  0
ZEALAND  999999 ZEALAND                          -- DN  5553   1190   126  0
AGPAT    999999 AGPAT                            -- DN  7095  -5195  1747  0
ARVE_PRI 999999 ARVE_PRINSENS                    -- DN  6970  -5120     0  0
ANGMAGSS 999999 ANGMAGSSALIK                     -- DN  6572  -3766  1352  0
ANORALIU 999999 ANORALIUIRSOQ                    -- DN  6003  -4436     0  0
BJORNESK 999999 BJORNESK                         -- DN  7785  -1990     0  0
CLAVERIN 999999 CLAVERING                        -- DN  7435  -2120  1650  0
QEQERTAR 999999 QEQERTARSUAQ                     -- DN  6975  -5350  1919  0
EAST_JEN 999999 EAST_JENSENS                     -- DN  8305  -4140   853  0
EDVARDS  999999 EDVARDS                          -- DN  7660  -2140     0  0
ITILLEQ  999999 ITILLEQ                          -- DN  5987  -4390  1070  0
EILA     999999 EILA                             -- DN  7270  -2510     0  0
GEOGRAPH 999999 GEOGRAPHICAL_SOCIETY             -- DN  7280  -2300  1730  0
GODFRED_ 999999 GODFRED_HANSENS                  -- DN  7645  -2100     0  0
HAREOEN  999999 HAREOEN                          -- DN  7037  -5485     0  0
HAZENLAN 999999 HAZENLAND                        -- DN  8320  -4100     0  0
HELGES_H 999999 HELGES_HALVO                     -- DN  6335  -4151  1605  0
HENDRIK  999999 HENDRIK                          -- DN  8215  -5320  1152  0
HERBERT  999999 HERBERT                          -- DN  7750  -7080     0  0
HOLMS    999999 HOLMS                            -- DN  7450  -5700  1060  0
IKEQ     999999 IKEQ                             -- DN  5994  -4420  1388  0
ILE_DE_F 999999 ILE_DE_FRANCE                    -- DN  7770  -1790     0  0
JOHN_MUR 999999 JOHN_MURRAY                      -- DN  8285  -4870   799  0
KUHN     999999 KUHN                             -- DN  7475  -2025  1136  0
LINDHARD 999999 LINDHARDS                        -- DN  7650  -2220     0  0
LYNNS    999999 LYNNS                            -- DN  8020  -1960  1494  0
MILNE_LA 999999 MILNE_LAND                       -- DN  7075  -2670  2103  0
NARESLAN 999999 NARESLAND                        -- DN  8240  -4700  1067  0
NORSKE   999999 NORSKE                           -- DN  7915  -1780   500  0
KIATAK   999999 KIATAK                           -- DN  7740  -7200  1097  0
NUTARMIU 999999 NUTARMIUT                        -- DN  7270  -5590     0  0
DAGMAR_P 999999 DAGMAR_PRINSESSE                 -- DN  8170  -1900     0  0
THYRA_PR 999999 THYRA_PRINSESSE                  -- DN  8200  -2100     0  0
QAERSORS 999999 QAERSORSSUAQ                     -- DN  7270  -5595     0  0
QEQERTAQ 999999 QEQERTAQ                         -- DN  7190  -5560     0  0
QEQERTAR 999999 QEQERTARSSDAQ                    -- DN  7165  -5325     0  0
QEQERTAR 999999 QEQERTARSSUAQ                    -- DN  7225  -5530     0  0
QIANARRE 999999 QIANARREQ                        -- DN  6586  -3666   457  0
QUTDLIKO 999999 QUTDLIKORSSUIT                   -- DN  7385  -5640     0  0
SABINE   999999 SABINE                           -- DN  7450  -1880   699  0
SANGMISS 999999 SANGMISSOQ                       -- DN  6003  -4363  1399  0
APPAT    999999 APPAT                            -- DN  7655  -6980   399  0
SCHNAUDE 999999 SCHNAUDERS                       -- DN  7885  -1930   300  0
SERMERSO 999999 SERMERSOQ                        -- DN  6027  -4527  1276  0
SHANNON  999999 SHANNON                          -- DN  7525  -1770   310  0
SOREN_NO 999999 SOREN_NORBYES                    -- DN  6569  -4055   757  0
STORE_KO 999999 STORE_KOLDEWEY                   -- DN  7640  -1890   971  0
STORO    999999 STORO                            -- DN  7083  -2755  1798  0
STOROEN  999999 STOROEN                          -- DN  7070  -5180     0  0
SVERDRUP 999999 SVERDRUP                         -- DN  8295  -4670  1290  0
TINGMIAR 999999 TINGMIARMIT                      -- DN  6273  -4216  1300  0
TRAILL   999999 TRAILL                           -- DN  7260  -2330  1884  0
ILLORSUI 999999 ILLORSUIT                        -- DN  7120  -5366  1150  0
UPEPNAGS 999999 UPEPNAGSSIVIK                    -- DN  6427  -4085   790  0
UPERNIVI 999999 UPERNIVIKBYES                    -- DN  7135  -5280     0  0
WEST_JEN 999999 WEST_JENSENS                     -- DN  8304  -4190     0  0
YMERS    999999 YMERS                            -- DN  7315  -2450  1900  0
DOMINICA 999999 DOMINICA                         -- DO  1545  -6135  1447  0
SAONA    999999 SAONA                            -- DR  1813  -6869     0  0
FERNANDO 999999 FERNANDO_PO                      -- GN   350    870  3008  0
CORISCO  999999 CORISCO                          -- GN   092    930     0  0
ELOBEY_G 999999 ELOBEY_GRANDE                    -- GN   102    948     0  0
ANNOBON  999999 ANNOBON                          -- GN  -140    563   654  0
EAST_FAL 999999 EAST_FALKLAND                    -- UK -5185  -5875   705  0
PEBBLE   999999 PEBBLE                           -- UK -5130  -5965   277  0
SAUNDERS 999999 SAUNDERS                         -- UK -5135  -6018   488  0
WEDDEL   999999 WEDDEL                           -- UK -5189  -6098   383  0
WEST_FAL 999999 WEST_FALKLAND                    -- UK -5175  -6005   732  0
OLERON   999999 OLERON                           -- FR  4592   -130     0  0
GUADELOU 999999 GUADELOUPE                       -- FR  1620  -6170  1467  0
GRANDE_T 999999 GRANDE_TERRE                     -- FR  1630  -6140   136  0
DESIRADE 999999 DESIRADE                         -- FR  1630  -6105     0  0
MARIE_GA 999999 MARIE_GALANTE                    -- FR  1590  -6130   204  0
ILES_DE_ 999999 ILES_DE_LA_PETITE_TERRE          -- FR  1617  -6111     0  0
ILES_DES 999999 ILES_DES_SAINTES                 -- FR  1586  -6168     0  0
MARTINIQ 999999 MARTINIQUE                       -- FR  1465  -6100  1397  0
ST_BARTH 999999 ST_BARTHELEMY                    -- FR  1792  -6283     0  0
SAINT_MA 999999 SAINT_MARTIN                     -- FR  1812  -6307   424  0
ST_BARTH 999999 ST_BARTHELEMY                    -- FR  1792  -6283     0  0
MIQUELON 999999 MIQUELON                         -- FR  4692  -5640   250  0
ST_PIERR 999999 ST_PIERRE                        -- FR  4679  -5618     0  0
AMRUM    999999 AMRUM                            -- DL  5464    834     0  0
FEHMARN  999999 FEHMARN                          -- DL  5447   1115    30  0
FOHR     999999 FOHR                             -- DL  5472    849     0  0
RUGEN    999999 RUGEN                            -- DL  5445   1335   161  0
SYLT     999999 SYLT                             -- DL  5490    834     0  0
GRENADA  999999 GRENADA                          -- GD  1210  -6170   840  0
CARRIACO 999999 CARRIACOU                        -- GD  1248  -6143     0  0
RONDE    999999 RONDE                            -- GD  1248  -6160     0  0
TRISTAO  999999 TRISTAO                          -- GN  1088  -1499     0  0
BOLAMA   999999 BOLAMA                           -- GN  1157  -1549     0  0
CARACHE  999999 CARACHE                          -- GN  1149  -1623     0  0
CARAVELA 999999 CARAVELA                         -- GN  1154  -1633     0  0
