The following table lists all of the possible IOSTAT errors encountered on the HPUX,
SunOS, IRIX 4 and IRIX 5 machines.  Use this table to translate an IOSTAT code which
is not translated by SS_IRET.  To translate, take the IOSTAT code returned by the
program and locate it under the appropriate column on the right-hand side.

This table was constructed using information derived from the following sources:
HPUX:	/usr/include/sys/errno.h
	/usr/lib/nls/C/f77_msgs.cat
	man pages for PERROR (3F)	

SunOS:	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

IRIX:  	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

A number with a following asterisk indicates that there is another instance of the same
IOSTAT number elsewhere in the table.  

A sole asterisk indicates that there is no IOSTAT number which correpsonds to the 
given message.

!#      Message							 HP   SUN   IX4   IX5
!-      -------                                          	---   ---   ---   ---
207 /* Remote peer released connection 				240     *     *     *
208 /* Host is down						241    64   128*  147*
209 /* Operation already in progress				244    37   103*  149*
210 /* Operation now in progress				245    36   102*  150*
211 /* Operation would block					246    35   101*    *
212 /* Function not implemented 				251    90     *     *
213 /* invalid exchange						  *     *    50    50
214 /* invalid request descriptor				  *     *    51    51
215 /* exchange full						  *     *    52    52
216 /* no anode							  *     *    53    53
217 /* invalid request code					  *     *    54    54
218 /* invalid slot						  *     *    55    55
219 /* file locking deadlock error				  *     *    56    56
220 /* bad font file fmt					  *     *    57    57
221 /* path name is too long					  *     *     *    78
222 /* value too large to be stored in data type		  *     *    79     *
223 /* f.d. invalid for this operation 				  *     *    81    81
224 /* Structure needs cleaning					  *     *     *   135*
225 /* Not a XENIX named type file				  *     *     *   137*
226 /* No XENIX semaphores available				  *     *     *   138*
227 /* Is a named type file					  *     *     *   139*
228 /* Remote I/O error 					  *     *     *   140*
229 /* Reserved for future					  *     *     *   141*
230 /* Error 142 						  *     *     *   142*
231 /* AIO operation canceled					  *     *     *   158*
232 /* block not fully transferred				  *     *     *   500
233 /* canceled 						  *     *     *  1000
234  ERROR IN FORMAT						900     *     *     *
235  NEGATIVE UNIT NUMBER SPECIFIED				901     *     *     *
