! NIDPRD.TBL
!
! This table contains product information necessary to interpret the
! header of a NIDS radar image.
!
! LOCAL images are identified by a positive source ID less than 10000.
! NATIONAL Mosaic images are identified by a source ID equal to 10000.
! REGIONAL Mosaic images are identified by a source ID between 10001 and 10007,
! inclusive.  Alaska Mosaic Site ID is 10051 and Hawaii Mosaic Site ID is 10052.
!
!!
! Log:
! S. Jacobs/NCEP	12/97
! S. Jacobs/NCEP	 2/98	Updated per UNISYS product catalog
! S. Jacobs/NCEP	 4/98	Fixed spelling of abbreviations
! S. Jacobs/NCEP	11/02	Added product #74 - RCM
! G. Grosshans/SPC	03/07	Added NSSL Level-II imagery
! G. Grosshans/SPC	05/07	Added Level-II CAPPI imagery per Levit
! G. Grosshans/SPC	05/07	Changed CAPPI imagery Prod ID numbers
!				to unused numbers at the SPC.  Added
!				1 and 2 HR CUM PCPN
NATIONAL CAPI        214      16 DBZ        1.00 W2_01KMCAPPI_1KM
NATIONAL CAPI        215      16 DBZ        1.00 W2_02KMCAPPI_1KM
NATIONAL CAPI        216      16 DBZ        1.00 W2_03KMCAPPI_1KM
NATIONAL CAPI        217      16 DBZ        1.00 W2_04KMCAPPI_1KM
NATIONAL CAPI        218      16 DBZ        1.00 W2_05KMCAPPI_1KM
NATIONAL CAPI        219      16 DBZ        1.00 W2_06KMCAPPI_1KM
NATIONAL CAPI        220      16 DBZ        1.00 W2_07KMCAPPI_1KM
NATIONAL CAPI        221      16 DBZ        1.00 W2_08KMCAPPI_1KM
NATIONAL CAPI        222      16 DBZ        1.00 W2_09KMCAPPI_1KM
NATIONAL CAPI        223      16 DBZ        1.00 W2_10KMCAPPI_1KM
NATIONAL CAPI        224      16 DBZ        1.00 W2_11KMCAPPI_1KM
NATIONAL CAPI        225      16 DBZ        1.00 W2_12KMCAPPI_1KM
NATIONAL CAPI        226      16 DBZ        1.00 W2_13KMCAPPI_1KM
NATIONAL CAPI        227      16 DBZ        1.00 W2_14KMCAPPI_1KM
NATIONAL CAPI        228      16 DBZ        1.00 W2_15KMCAPPI_1KM
NATIONAL CAPI        229      16 DBZ        1.00 W2_16KMCAPPI_1KM
NATIONAL CAPI        230      16 DBZ        1.00 W2_17KMCAPPI_1KM
NATIONAL CAPI        231      16 DBZ        1.00 W2_18KMCAPPI_1KM
NATIONAL CAPI        232      16 DBZ        1.00 W2_19KMCAPPI_1KM
